fold,entry_ts_ms,side,book_idx,stack_same_before,stack_opp_before,abs_mean,pred_mean,pnl,win,exit_reason,entry_price,exit_price,hour_utc,realized_vol_24h,is_addon,signed_fwd_1,signed_fwd_3,signed_fwd_6,signed_fwd_12,strength_tercile,vol_tercile
0,1640998800000,1,1,0,0,0.24932248546168306,0.24932248546168306,0.3312362400000024,True,target,3723.54,3760.78,1,0.03912734787528023,False,0.0008915839310794649,-0.004406895273799449,-0.002400831428870709,-0.004036297133772515,mid,high
0,1641020400000,1,1,0,0,0.13482840620320052,0.13482840620320052,-0.014855430000000908,False,max_hold,3712.83,3715.43,7,0.03956358643388142,False,0.0016717051122949744,-0.006474155869677034,-0.0016394016318641569,0.008197008159320784,low,high
0,1641027600000,1,3,1,0,0.331845140352895,0.331845140352895,-0.30930367499999906,False,max_hold,3722.85,3696.0,9,0.033123380956491,True,-0.007195754101579799,-0.000624080355725698,0.0017511909981788865,0.007879014491038339,mid,high
0,1641031200000,1,4,2,0,0.3079000460756309,0.3079000460756309,0.23343650499999818,True,max_hold,3719.32,3746.77,10,0.03341031649555481,True,0.00036849178480080624,0.004866259158104569,0.009683747344691573,0.01763341570208543,mid,high
0,1641034800000,1,5,3,0,0.310152389207131,0.310152389207131,0.5909337450000005,True,max_hold,3692.61,3755.8,11,0.033357580464363615,True,0.006248510324803336,0.0010617321401487079,0.01807382288574466,0.019224935537691445,mid,high
0,1641038400000,1,5,4,0,0.4253956369297265,0.4253956369297265,0.6500865550000012,True,max_hold,3693.94,3763.050000000001,12,0.03385140551963865,True,-0.001741517839118245,0.0023767546397857053,0.009423576437021408,0.012220233368773759,high,high
0,1641060000000,-1,1,0,7,0.12838159691398734,-0.12838159691398734,-0.1029596700000031,False,max_hold,3756.89,3763.050000000001,18,0.033755924539859844,False,0.0013172771295091312,0.0009066279838726432,-0.0027705484565991867,0.003578513983403364,low,high
0,1641042000000,1,6,5,0,0.3863432462329659,0.3863432462329659,0.3914718800000022,True,max_hold,3717.29,3760.55,13,0.03385538223147669,True,-0.00341900622323843,0.004794158568547369,0.009852562097565798,0.00986334760615648,high,high
0,1641045600000,1,6,5,0,0.3913609819425293,0.3913609819425293,0.306493155,True,max_hold,3710.52,3745.27,14,0.03390386867805527,True,0.007570346320346255,0.016994047619047548,0.01707251082251071,0.013354978354978453,high,high
0,1641049200000,1,7,6,0,0.4364664292387394,0.4364664292387394,0.4340624,True,max_hold,3697.85,3745.35,15,0.03488503053422406,True,0.0006659541673155189,0.0070301129436785015,0.0061171112626814406,0.008743333745079074,high,high
0,1641070800000,-1,3,1,7,0.29313824107409286,-0.29313824107409286,0.07743586499999891,True,max_hold,3757.22,3745.35,21,0.023203135876960237,True,-0.002412751283775938,-0.0036805132968218413,-0.0026102552605451468,-0.001411886536634377,mid,mid
0,1641052800000,1,7,6,0,0.27279705633080603,0.27279705633080603,0.26674630499999963,True,max_hold,3725.85,3756.64,16,0.03359421272708344,True,0.00868116120929785,0.005034268447802859,0.00787342410759817,-0.0011780617529772996,mid,high
0,1641074400000,-1,3,2,7,0.17414579286844262,-0.17414579286844262,-0.11293322500000075,False,max_hold,3744.89,3752.06,22,0.023156343970668614,True,-0.0019330102774375302,0.002806326215453403,0.008980776399169277,0.0037621811598061994,low,mid
0,1641081600000,-1,4,3,5,0.38128969957733616,-0.38128969957733616,0.1457300899999982,True,max_hold,3761.16,3742.46,0,0.019957974958677332,True,0.004065894616478993,0.0010663333820851717,0.006331520655223466,0.0021007565382723525,high,low
0,1641085200000,-1,5,3,4,0.28766294368681444,-0.28766294368681444,0.01888784999999981,True,max_hold,3758.66,3752.64,1,0.02043850124677961,True,-2.6700415992397808e-05,0.006191826468656347,-6.942108158036753e-05,0.0004939576958610248,mid,low
0,1641088800000,-1,5,4,3,0.28766294368681444,-0.28766294368681444,-0.041277345000002186,False,max_hold,3743.39,3743.400000000001,2,0.02042849498765178,True,-0.0029850268065019225,0.0008650703804173876,0.001110707648931064,-0.0013029455112458788,mid,low
0,1641092400000,-1,6,5,2,0.3782493240073683,-0.3782493240073683,-0.10891540499999983,False,max_hold,3743.47,3750.24,3,0.02054010646231075,True,0.009175997061125374,0.005270807711351466,0.0011952488193922584,-0.005225553301708485,high,low
0,1641124800000,1,1,0,5,0.012530224195481738,-0.012530224195481738,0.33300634000000057,True,target,3744.34,3781.780000000001,12,0.018863454474145547,False,-0.0024622600029313713,0.006267570916552279,0.01109615871450842,0.013838220990499916,low,low
0,1641135600000,1,2,1,2,0.013684746256856319,-0.013684746256856319,0.3337203199999998,True,target_entry_bar,3752.12,3789.64,15,0.01836283394273714,True,0.016474364236779504,0.004798512778820818,0.008892608118808099,0.0021000113871991744,low,low
0,1641096000000,-1,6,5,1,0.06074990703657726,-0.06074990703657726,-0.25562016999999615,False,max_hold,3754.76,3776.18,4,0.02222490903697565,True,-0.0053867874596662535,-0.00630025765232789,-0.005265886992990465,-0.031248740620138715,low,mid
0,1641164400000,-1,1,0,4,0.23695605372302136,-0.23695605372302136,0.34054114999999785,True,target,3824.47,3786.23,23,0.02422676536836244,False,0.0056531136555495465,0.007856338256394646,0.004176456598043554,-0.00164653795792713,mid,mid
0,1641142800000,1,3,0,0,0.333763880170388,0.333763880170388,-0.5458662649999987,False,max_hold,3840.31,3789.92,17,0.023240785357907415,True,-0.0076318108942923235,-0.003941445859389381,0.0007166265198890187,-0.0034628230377117264,mid,mid
0,1641146400000,1,4,1,0,0.41796068686751975,0.41796068686751975,-0.18839304999999873,False,max_hold,3824.87,3810.23,18,0.024493606931226167,True,0.0007168666601657936,0.004074543590500523,0.002711969828347316,0.0019898320897981936,high,mid
0,1641150000000,1,5,2,0,0.3837052428318937,0.3837052428318937,0.01301177000000018,True,max_hold,3796.19,3801.67,19,0.024424508391681646,True,0.0029997287339247336,0.007737667269772652,0.0016960713824825113,0.0026231166101746695,high,mid
0,1641153600000,1,4,3,0,0.0016641274454524825,0.0016641274454524825,0.038667715000001816,True,max_hold,3798.91,3806.96,20,0.024343971527645666,True,0.0003544795714736093,0.004676504568847717,-0.003216573889297303,-0.0005120260476841887,low,mid
0,1641189600000,-1,1,0,6,0.19902230594593176,-0.19902230594593176,-0.2839245650000006,False,max_hold,3808.32,3832.510000000001,6,0.02293471234115295,False,-0.0013493466321570224,-0.0014861225091007402,-0.004216379437325113,0.013283041895503223,mid,mid
0,1641175200000,1,6,4,1,0.32747242236305885,0.32747242236305885,0.07757333499999818,True,max_hold,3805.54,3817.49,2,0.024693931647339854,True,-0.0031742686669389286,0.0037090209817840503,0.0027132752920722147,0.0015805487138285113,mid,mid
