entry_ts_utc,exit_ts_utc,entry_ts_ms,exit_ts_ms,side,book_idx,tag,entry_price,exit_price,qty,realized_pnl,return_units,fees,exit_reason,max_hold_bars,stop_offset,target_offset
2026-04-10T01:00:00+00:00,2026-04-10T07:00:00+00:00,1775782800000,1775804400000,LONG,1,k7_b1,2195.06,2185.25,0.01,-0.12219170499999946,-0.005566668109299949,0.024091705,max_hold,,,
2026-04-09T20:00:00+00:00,2026-04-10T08:00:00+00:00,1775764800000,1775808000000,SHORT,5,k7_b5,2214.25,2178.62,0.01,0.3321392150000011,0.015000077452862191,0.024160785000000004,max_hold,,,
2026-04-10T02:00:00+00:00,2026-04-10T08:00:00+00:00,1775786400000,1775808000000,LONG,2,k7_b2,2194.59,2178.62,0.01,-0.18375265500000257,-0.008372983336295279,0.024052655000000003,max_hold,,,
2026-04-09T21:00:00+00:00,2026-04-10T09:00:00+00:00,1775768400000,1775811600000,SHORT,6,k7_b6,2210.97,2184.68,0.01,0.23872392499999964,0.010797248492742988,0.024176075,max_hold,,,
2026-04-09T22:00:00+00:00,2026-04-10T10:00:00+00:00,1775772000000,1775815200000,SHORT,6,k7_b6,2208.53,2195.19,0.01,0.10917954000000146,0.0049435389150249915,0.024220460000000006,max_hold,,,
2026-04-10T03:00:00+00:00,2026-04-10T14:00:00+00:00,1775790000000,1775829600000,LONG,3,k7_b3,2189.04,2246.35,0.01,0.5487053549999995,0.025066026888499047,0.024394645,target,,,
2026-04-10T04:00:00+00:00,2026-04-10T14:00:00+00:00,1775793600000,1775829600000,LONG,4,k7_b4,2186.26,2243.5,0.01,0.5480363199999978,0.02506729849148764,0.024363680000000002,target,,,
2026-04-10T07:00:00+00:00,2026-04-10T14:00:00+00:00,1775804400000,1775829600000,LONG,4,k7_b4,2186.35,2243.59,0.01,0.5480353300000024,0.02506622132778386,0.02436467,target,,,
2026-04-10T08:00:00+00:00,2026-04-10T14:00:00+00:00,1775808000000,1775829600000,LONG,4,k7_b4,2179.71,2236.77,0.01,0.5463093599999994,0.025063396506874742,0.024290640000000002,target,,,
2026-04-10T09:00:00+00:00,2026-04-10T14:00:00+00:00,1775811600000,1775829600000,LONG,5,k7_b5,2185.78,2243.0,0.01,0.547841709999998,0.025063899843534024,0.02435829,target,,,
2026-04-10T10:00:00+00:00,2026-04-10T15:00:00+00:00,1775815200000,1775833200000,LONG,6,k7_b6,2196.29,2253.79,0.01,0.55052456,0.025066114219888996,0.02447544,target,,,
2026-04-10T11:00:00+00:00,2026-04-10T15:00:00+00:00,1775818800000,1775833200000,LONG,7,k7_b7,2197.09,2254.61,0.01,0.5507156499999998,0.02506568461009789,0.024484350000000002,target,,,
2026-04-10T13:00:00+00:00,2026-04-10T19:00:00+00:00,1775826000000,1775847600000,SHORT,1,k7_b1,2216.75,2248.0,0.01,-0.337056125,-0.015204967858351189,0.024556125000000005,max_hold,,,
2026-04-10T14:00:00+00:00,2026-04-10T20:00:00+00:00,1775829600000,1775851200000,SHORT,2,k7_b2,2220.52,2251.8,0.01,-0.33739776000000204,-0.015194538216273756,0.024597760000000003,max_hold,,,
2026-04-10T15:00:00+00:00,2026-04-11T03:00:00+00:00,1775833200000,1775876400000,SHORT,3,k7_b3,2240.04,2247.0,0.01,-0.09427872000000037,-0.004208796271495168,0.02467872,max_hold,,,
2026-04-10T16:00:00+00:00,2026-04-11T04:00:00+00:00,1775836800000,1775880000000,SHORT,4,k7_b4,2222.11,2235.94,0.01,-0.1628192749999993,-0.007327237400488692,0.024519275000000007,max_hold,,,
2026-04-10T17:00:00+00:00,2026-04-11T05:00:00+00:00,1775840400000,1775883600000,SHORT,5,k7_b5,2242.86,2239.73,0.01,0.006645755000001086,0.00029630717030938557,0.024654245000000005,max_hold,,,
2026-04-10T21:00:00+00:00,2026-04-11T09:00:00+00:00,1775854800000,1775898000000,SHORT,4,k7_b4,2252.9,2231.51,0.01,0.18923574499999873,0.008399651338275057,0.024664255000000003,max_hold,,,
2026-04-10T22:00:00+00:00,2026-04-11T10:00:00+00:00,1775858400000,1775901600000,SHORT,5,k7_b5,2252.59,2242.5,0.01,0.07617700500000146,0.003381751894485967,0.024722995000000005,max_hold,,,
2026-04-11T04:00:00+00:00,2026-04-11T10:00:00+00:00,1775880000000,1775901600000,LONG,1,k7_b1,2237.06,2242.5,0.01,0.029762420000000546,0.0013304256479486714,0.02463758,max_hold,,,
2026-04-11T05:00:00+00:00,2026-04-11T11:00:00+00:00,1775883600000,1775905200000,LONG,2,k7_b2,2240.85,2239.11,0.01,-0.04203977999999782,-0.0018760639935737698,0.02463978,max_hold,,,
